hour,demand_mw
0,561.16
1,561.16
2,561.16
3,561.17
4,561.21
5,561.41
6,562.2
7,564.8
8,571.91
9,588.04
10,618.05
11,663.12
12,715.88
13,760.21
14,779.39
15,769.22
16,745.02
17,733.18
18,748.96
19,778.51
20,787.74
21,755.27
22,693.11
23,631.48
24,561.43
25,561.43
26,561.43
27,561.44
28,561.48
29,561.68
30,562.47
31,565.06
32,572.18
33,588.31
34,618.35
35,663.43
36,716.22
37,760.57
38,779.76
39,769.58
40,745.37
41,733.53
42,749.32
43,778.87
44,788.11
45,755.63
46,693.44
47,631.78
48,561.71
49,561.71
50,561.71
51,561.72
52,561.77
53,561.97
54,562.76
55,565.35
56,572.47
57,588.61
58,618.66
59,663.77
60,716.59
61,760.96
62,780.16
63,769.97
64,745.75
65,733.9
66,749.7
67,779.27
68,788.51
69,756.01
70,693.79
71,632.11
72,562.02
73,562.02
74,562.02
75,562.03
76,562.07
77,562.28
78,563.07
79,565.66
80,572.78
81,588.94
82,619.0
83,664.14
84,716.98
85,761.37
86,780.59
87,770.4
88,746.16
89,734.31
90,750.11
91,779.7
92,788.95
93,756.43
94,694.17
95,632.45
96,562.35
97,562.35
98,562.35
99,562.36
100,562.41
101,562.61
102,563.4
103,566.0
104,573.12
105,589.28
106,619.37
107,664.53
108,717.4
109,761.82
110,781.05
111,770.85
112,746.6
113,734.74
114,750.55
115,780.16
116,789.41
117,756.87
118,694.58
119,632.83
120,562.71
121,562.71
122,562.71
123,562.71
124,562.76
125,562.96
126,563.75
127,566.35
128,573.48
129,589.65
130,619.76
131,664.95
132,717.85
133,762.3
134,781.54
135,771.34
136,747.07
137,735.2
138,751.02
139,780.65
140,789.91
141,757.35
142,695.02
143,633.22
144,563.08
145,563.08
146,563.08
147,563.09
148,563.13
149,563.33
150,564.13
151,566.73
152,573.86
153,590.05
154,620.17
155,665.39
156,718.33
157,762.81
158,782.06
159,771.85
160,747.57
161,735.69
162,751.52
163,781.17
164,790.43
165,757.85
166,695.48
167,633.64
168,563.48
169,563.48
170,563.48
171,563.49
172,563.53
173,563.73
174,564.52
175,567.13
176,574.27
177,590.46
178,620.6
179,665.86
180,718.84
181,763.34
182,782.61
183,772.39
184,748.09
185,736.21
186,752.05
187,781.72
188,790.99
189,758.38
190,695.97
191,634.09
192,563.89
193,563.89
194,563.9
195,563.9
196,563.95
197,564.15
198,564.94
199,567.55
200,574.69
201,590.9
202,621.06
203,666.35
204,719.37
205,763.91
206,783.19
207,772.96
208,748.65
209,736.75
210,752.61
211,782.3
212,791.57
213,758.95
214,696.49
215,634.56
216,564.33
217,564.33
218,564.33
219,564.34
220,564.38
221,564.59
222,565.38
223,567.99
224,575.14
225,591.36
226,621.55
227,666.87
228,719.93
229,764.5
230,783.8
231,773.57
232,749.23
233,737.33
234,753.19
235,782.91
236,792.19
237,759.54
238,697.03
239,635.05
240,564.79
241,564.79
242,564.79
243,564.8
244,564.85
245,565.05
246,565.84
247,568.45
248,575.61
249,591.84
250,622.05
251,667.41
252,720.52
253,765.13
254,784.43
255,774.2
256,749.84
257,737.93
258,753.81
259,783.54
260,792.84
261,760.16
262,697.6
263,635.57
264,565.27
265,565.27
266,565.28
267,565.28
268,565.33
269,565.53
270,566.32
271,568.94
272,576.1
273,592.35
274,622.58
275,667.98
276,721.13
277,765.78
278,785.1
279,774.86
280,750.48
281,738.56
282,754.45
283,784.21
284,793.51
285,760.8
286,698.19
287,636.11
288,565.78
289,565.78
290,565.78
291,565.79
292,565.83
293,566.03
294,566.83
295,569.44
296,576.61
297,592.87
