hour,demand_mw
0,497.52
1,497.52
2,497.55
3,497.83
4,499.45
5,506.16
6,525.27
7,561.38
8,602.8
9,621.9
10,602.8
11,561.39
12,525.37
13,506.8
14,502.67
15,510.58
16,536.83
17,591.74
18,673.55
19,753.64
20,787.74
21,753.64
22,673.55
23,591.74
24,497.75
25,497.76
26,497.79
27,498.06
28,499.68
29,506.4
30,525.52
31,561.64
32,603.09
33,622.19
34,603.09
35,561.65
36,525.62
37,507.04
38,502.91
39,510.82
40,537.08
41,592.02
42,673.86
43,753.99
44,788.11
45,753.99
46,673.86
47,592.02
48,498.01
49,498.01
50,498.04
51,498.32
52,499.94
53,506.66
54,525.79
55,561.93
56,603.4
57,622.51
58,603.4
59,561.94
60,525.89
61,507.29
62,503.17
63,511.08
64,537.36
65,592.32
66,674.21
67,754.38
68,788.51
69,754.38
70,674.21
71,592.32
72,498.28
73,498.28
74,498.32
75,498.59
76,500.21
77,506.94
78,526.08
79,562.24
80,603.73
81,622.85
82,603.73
83,562.25
84,526.18
85,507.57
86,503.44
87,511.36
88,537.65
89,592.65
90,674.58
91,754.79
92,788.95
93,754.79
94,674.58
95,592.65
96,498.58
97,498.58
98,498.61
99,498.88
100,500.51
101,507.24
102,526.39
103,562.57
104,604.08
105,623.22
106,604.09
107,562.58
108,526.48
109,507.87
110,503.74
111,511.66
112,537.97
113,593.0
114,674.98
115,755.24
116,789.41
117,755.24
118,674.98
119,593.0
120,498.89
121,498.89
122,498.92
123,499.2
124,500.82
125,507.55
126,526.72
127,562.92
128,604.46
129,623.61
130,604.46
131,562.93
132,526.82
133,508.19
134,504.05
135,511.98
136,538.31
137,593.37
138,675.4
139,755.71
140,789.91
141,755.71
142,675.4
143,593.37
144,499.22
145,499.22
146,499.26
147,499.53
148,501.16
149,507.89
150,527.07
151,563.3
152,604.87
153,624.03
154,604.87
155,563.31
156,527.17
157,508.53
158,504.39
159,512.32
160,538.67
161,593.77
162,675.85
163,756.21
164,790.43
165,756.21
166,675.85
167,593.76
168,499.57
169,499.57
170,499.61
171,499.88
172,501.51
173,508.25
174,527.44
175,563.69
176,605.29
177,624.46
178,605.29
179,563.71
180,527.54
181,508.89
182,504.75
183,512.68
184,539.05
185,594.18
186,676.32
187,756.75
188,790.99
189,756.75
190,676.32
191,594.18
192,499.94
193,499.94
194,499.98
195,500.25
196,501.88
197,508.63
198,527.83
199,564.11
200,605.74
201,624.93
202,605.74
203,564.12
204,527.93
205,509.26
206,505.12
207,513.06
208,539.45
209,594.62
210,676.83
211,757.31
212,791.57
213,757.31
214,676.83
215,594.62
216,500.33
217,500.33
218,500.37
219,500.64
220,502.27
221,509.02
222,528.24
223,564.55
224,606.21
225,625.41
226,606.21
227,564.56
228,528.34
229,509.66
230,505.51
231,513.46
232,539.87
233,595.09
234,677.35
235,757.9
236,792.19
237,757.9
238,677.35
239,595.08
240,500.74
241,500.74
242,500.77
243,501.05
244,502.68
245,509.44
246,528.67
247,565.01
248,606.71
249,625.92
250,606.71
251,565.02
252,528.77
253,510.08
254,505.92
255,513.88
256,540.31
257,595.57
258,677.9
259,758.51
260,792.84
261,758.51
262,677.9
263,595.57
264,501.17
265,501.17
266,501.2
267,501.48
268,503.11
269,509.87
270,529.12
271,565.49
272,607.22
273,626.46
274,607.22
275,565.5
276,529.22
277,510.51
278,506.36
279,514.32
280,540.77
281,596.08
282,678.48
283,759.16
284,793.51
285,759.16
286,678.48
287,596.08
288,501.61
289,501.61
290,501.65
291,501.92
292,503.55
293,510.32
294,529.59
295,565.99
296,607.76
297,627.01
298,607.76
299,566.01
300,529.69
301,510.96
302,506.81
303,514.78
304,541.25
305,596.61
306,679.09
307,759.83
308,794.22
309,759.83
310,679.08
311,596.61
312,502.07
313,502.08
314,502.11
315,502.39
316,504.02
317,510.8
318,530.08
319,566.52
320,608.32
321,627.59
322,608.32
323,566.53
324,530.18
325,511.44
326,507.27
327,515.25
328,541.75
329,597.16
330,679.71
331,760.54
332,794.95
333,760.54
334,679.71
335,597.16
336,502.56
337,502.56
338,502.59
339,502.87
340,504.5
341,511.29
342,530.59
343,567.06
344,608.91
345,628.19
346,608.91
347,567.07
348,530.69
349,511.93
350,507.76
351,515.75
352,542.27
353,597.73
354,680.37
355,761.27
356,795.71
357,761.27
358,680.36
359,597.73
360,503.06
361,503.06
362,503.09
363,503.37
364,505.01
365,511.79
366,531.12
367,567.63
368,609.51
369,628.82
370,609.51
371,567.64
372,531.22
373,512.44
374,508.27
375,516.26
376,542.81
377,598.33
378,681.04
379,762.02
380,796.51
381,762.02
382,681.04
383,598.32
384,503.57
385,503.58
386,503.61
387,503.89
388,505.53
389,512.32
390,531.66
391,568.21
392,610.14
393,629.47
394,610.14
395,568.22
396,531.76
397,512.96
398,508.79
399,516.79
400,543.36
401,598.94
402,681.74
403,762.81
404,797.33
405,762.81
406,681.74
407,598.94
408,504.11
409,504.11
410,504.15
411,504.42
412,506.06
413,512.87
414,532.23
415,568.81
416,610.79
417,630.14
418,610.79
419,568.83
420,532.33
421,513.51
422,509.33
423,517.34
424,543.94
425,599.58
426,682.47
427,763.62
428,798.17
429,763.62
430,682.47
431,599.58
432,504.66
433,504.67
434,504.7
435,504.98
436,506.62
437,513.43
438,532.81
439,569.44
440,611.46
441,630.83
442,611.46
443,569.45
444,532.91
445,514.07
446,509.89
447,517.91
448,544.54
449,600.24
450,683.22
451,764.46
452,799.05
453,764.46
454,683.22
455,600.24
456,505.23
457,505.24
458,505.27
459,505.55
460,507.19
461,514.01
462,533.42
463,570.08
464,612.15
465,631.54
466,612.15
467,570.1
468,533.52
469,514.66
470,510.47
471,518.5
472,545.16
473,600.92
474,683.99
475,765.32
476,799.95
477,765.32
478,683.99
479,600.92
480,505.82
481,505.83
482,505.86
483,506.14
484,507.78
485,514.61
486,534.04
487,570.75
488,612.87
489,632.28
490,612.87
491,570.76
492,534.14
493,515.26
494,511.06
495,519.1
496,545.79
497,601.62
498,684.79
499,766.22
500,800.89
501,766.22
502,684.79
503,601.62
504,506.43
505,506.43
506,506.46
507,506.74
508,508.39
509,515.23
510,534.68
511,571.43
512,613.6
513,633.04
514,613.6
515,571.44
516,534.78
517,515.87
518,511.67
519,519.72
520,546.45
521,602.34
522,685.61
523,767.13
524,801.85
525,767.13
526,685.61
527,602.34
528,507.05
529,507.05
530,507.09
531,507.37
532,509.02
533,515.86
534,535.34
535,572.13
536,614.35
537,633.81
538,614.36
539,572.15
540,535.44
541,516.51
542,512.3
543,520.36
544,547.12
545,603.08
546,686.45
547,768.08
548,802.83
549,768.08
550,686.45
551,603.08
552,507.69
553,507.69
554,507.73
555,508.01
556,509.66
557,516.51
558,536.01
559,572.86
560,615.13
561,634.61
562,615.13
563,572.87
564,536.11
565,517.16
566,512.95
567,521.02
568,547.81
569,603.84
570,687.32
571,769.05
572,803.84
573,769.05
574,687.32
575,603.84
576,508.35
577,508.35
578,508.38
579,508.66
580,510.32
581,517.18
582,536.7
583,573.6
584,615.92
585,635.43
586,615.93
587,573.61
588,536.8
589,517.83
590,513.61
591,521.69
592,548.52
593,604.62
594,688.21
595,770.04
596,804.88
597,770.04
598,688.21
599,604.62
600,509.02
601,509.02
602,509.06
603,509.34
604,510.99
605,517.86
606,537.41
607,574.35
608,616.74
609,636.28
610,616.74
611,574.37
612,537.51
613,518.51
614,514.29
615,522.38
616,549.24
617,605.42
618,689.12
619,771.06
620,805.95
621,771.06
622,689.12
623,605.42
624,509.71
625,509.71
626,509.75
627,510.02
628,511.68
629,518.56
630,538.14
631,575.13
632,617.57
633,637.14
634,617.57
635,575.14
636,538.24
637,519.21
638,514.99
639,523.09
640,549.98
641,606.24
642,690.05
643,772.1
644,807.04
645,772.1
646,690.05
647,606.24
648,510.41
649,510.42
650,510.45
651,510.73
652,512.39
653,519.28
654,538.89
655,575.93
656,618.43
657,638.02
658,618.43
659,575.94
660,538.99
661,519.93
662,515.7
663,523.81
664,550.74
665,607.08
666,691.0
667,773.17
668,808.16
669,773.17
670,691.0
671,607.08
672,511.13
673,511.14
674,511.17
675,511.45
676,513.12
677,520.01
678,539.65
679,576.74
680,619.3
681,638.92
682,619.3
683,576.75
684,539.75
685,520.67
686,516.43
687,524.55
688,551.52
689,607.94
690,691.98
691,774.26
692,809.3
693,774.26
694,691.98
695,607.93
696,511.87
697,511.87
698,511.91
699,512.19
700,513.85
701,520.76
702,540.42
703,577.57
704,620.19
705,639.84
706,620.19
707,577.58
708,540.52
709,521.42
710,517.17
711,525.31
712,552.32
713,608.81
714,692.98
715,775.38
716,810.46
717,775.38
718,692.98
719,608.81
720,512.62
721,512.63
722,512.66
723,512.94
724,514.61
725,521.53
726,541.22
727,578.42
728,621.1
729,640.78
730,621.11
731,578.43
732,541.32
733,522.18
734,517.93
735,526.08
736,553.13
737,609.71
738,693.99
739,776.52
740,811.65
741,776.52
742,693.99
743,609.7
744,513.39
745,513.39
746,513.43
747,513.71
748,515.38
749,522.31
750,542.03
751,579.29
752,622.03
753,641.74
754,622.03
755,579.3
756,542.13
757,522.96
758,518.71
759,526.87
760,553.96
761,610.62
762,695.03
763,777.68
764,812.87
765,777.68
766,695.03
767,610.62
768,514.17
769,514.17
770,514.21
771,514.49
772,516.16
773,523.1
774,542.85
775,580.17
776,622.98
777,642.71
778,622.98
779,580.18
780,542.95
781,523.76
782,519.5
783,527.67
784,554.8
785,611.55
786,696.09
787,778.86
