state,year,peak_mw,mean_mw,min_mw,load_factor,total_gwh
Rajasthan,2021,1000.0,747.8218899059499,559.7204690567264,0.7478218899059499,6550.919755576121
Rajasthan,2022,1000.0,747.8218899059499,559.7204690567264,0.7478218899059499,6550.919755576121
Rajasthan,2023,1000.0,747.8218899059499,559.7204690567264,0.7478218899059499,6550.919755576121
Gujarat,2021,1000.0,747.8218899059499,559.7204690567264,0.7478218899059499,6550.919755576121
Gujarat,2022,1000.0,747.8218899059499,559.7204690567264,0.7478218899059499,6550.919755576121
Gujarat,2023,1000.0,747.8218899059499,559.7204690567264,0.7478218899059499,6550.919755576121
Tamil Nadu,2021,1000.0,655.5344424457502,496.2415788132717,0.6555344424457502,5742.4817158247715
Tamil Nadu,2022,1000.0,655.5344424457502,496.2415788132717,0.6555344424457502,5742.4817158247715
Tamil Nadu,2023,1000.0,655.5344424457502,496.24157881327164,0.6555344424457502,5742.4817158247715
Karnataka,2021,1000.0,655.5344424457502,496.2415788132717,0.6555344424457502,5742.4817158247715
Karnataka,2022,1000.0,655.5344424457502,496.2415788132717,0.6555344424457502,5742.4817158247715
Karnataka,2023,1000.0,655.5344424457502,496.24157881327164,0.6555344424457502,5742.4817158247715
