hour,solar_cf,wind_cf
0,0.0,0.1904
1,0.0,0.1854
2,0.0,0.1711
3,0.0,0.15
4,0.0,0.1252
5,0.0,0.0999
6,0.0,0.0769
7,0.0669,0.0577
8,0.3045,0.0429
9,0.471,0.0325
10,0.6643,0.0257
11,0.6513,0.022
12,0.7175,0.0208
13,0.6467,0.022
14,0.6221,0.0257
15,0.5037,0.0325
16,0.3097,0.0429
17,0.0654,0.0577
18,0.0,0.0769
19,0.0,0.0999
20,0.0,0.1252
21,0.0,0.15
22,0.0,0.1711
23,0.0,0.1854
24,0.0,0.1904
25,0.0,0.1854
26,0.0,0.1711
27,0.0,0.15
28,0.0,0.1252
29,0.0,0.0999
30,0.0,0.0769
31,0.0581,0.0577
32,0.3077,0.0429
33,0.5251,0.0325
34,0.6631,0.0257
35,0.6854,0.022
36,0.707,0.0208
37,0.6361,0.022
38,0.6964,0.0257
39,0.4938,0.0325
40,0.2839,0.0429
41,0.0619,0.0577
42,0.0,0.0769
43,0.0,0.0999
44,0.0,0.1252
45,0.0,0.15
46,0.0,0.1711
47,0.0,0.1854
48,0.0,0.1904
49,0.0,0.1854
50,0.0,0.1711
51,0.0,0.15
52,0.0,0.1252
53,0.0,0.0999
54,0.0,0.0769
55,0.059,0.0577
56,0.313,0.0429
57,0.4607,0.0325
58,0.6034,0.0257
59,0.6708,0.022
60,0.6466,0.0208
61,0.6336,0.022
62,0.6661,0.0257
63,0.5038,0.0325
64,0.3028,0.0429
65,0.0629,0.0577
66,0.0,0.0769
67,0.0,0.0999
68,0.0,0.1252
69,0.0,0.15
70,0.0,0.1711
71,0.0,0.1854
72,0.0,0.1904
73,0.0,0.1854
74,0.0,0.1711
75,0.0,0.15
76,0.0,0.1252
77,0.0,0.0999
78,0.0,0.0769
79,0.0627,0.0577
80,0.2993,0.0429
81,0.4946,0.0325
82,0.6669,0.0257
83,0.6534,0.022
84,0.6996,0.0208
85,0.6414,0.022
86,0.6499,0.0257
87,0.4957,0.0325
88,0.2754,0.0429
89,0.069,0.0577
90,0.0,0.0769
91,0.0,0.0999
92,0.0,0.1252
93,0.0,0.15
94,0.0,0.1711
95,0.0,0.1854
96,0.0,0.1904
97,0.0,0.1854
98,0.0,0.1711
99,0.0,0.15
100,0.0,0.1252
101,0.0,0.0999
102,0.0,0.0769
103,0.0699,0.0577
104,0.276,0.0429
105,0.5315,0.0325
106,0.6629,0.0257
107,0.6422,0.022
108,0.6272,0.0208
109,0.6729,0.022
110,0.6215,0.0257
111,0.4684,0.0325
112,0.2894,0.0429
113,0.0669,0.0577
114,0.0,0.0769
115,0.0,0.0999
116,0.0,0.1252
117,0.0,0.15
118,0.0,0.1711
119,0.0,0.1854
120,0.0,0.1904
121,0.0,0.1854
122,0.0,0.1711
123,0.0,0.15
124,0.0,0.1252
125,0.0,0.0999
126,0.0,0.0769
127,0.0656,0.0577
128,0.2884,0.0429
129,0.4601,0.0325
130,0.6783,0.0257
131,0.6737,0.022
132,0.6814,0.0208
133,0.6731,0.022
134,0.6182,0.0257
135,0.4939,0.0325
136,0.2925,0.0429
137,0.0665,0.0577
138,0.0,0.0769
139,0.0,0.0999
140,0.0,0.1252
141,0.0,0.15
142,0.0,0.1711
143,0.0,0.1854
144,0.0,0.1904
145,0.0,0.1854
146,0.0,0.1711
147,0.0,0.15
148,0.0,0.1252
149,0.0,0.0999
150,0.0,0.0769
151,0.065,0.0577
152,0.2744,0.0429
153,0.4858,0.0325
154,0.6823,0.0257
155,0.6985,0.022
156,0.6679,0.0208
157,0.7069,0.022
158,0.6234,0.0257
159,0.5229,0.0325
160,0.2885,0.0429
161,0.0655,0.0577
162,0.0,0.0769
163,0.0,0.0999
164,0.0,0.1252
165,0.0,0.15
166,0.0,0.1711
167,0.0,0.1854
168,0.0,0.1904
169,0.0,0.1854
170,0.0,0.1711
171,0.0,0.15
172,0.0,0.1252
173,0.0,0.0999
174,0.0,0.0769
175,0.0657,0.0577
176,0.2984,0.0429
177,0.4627,0.0325
178,0.6834,0.0257
179,0.7057,0.022
180,0.6197,0.0208
181,0.6315,0.022
182,0.6459,0.0257
183,0.5046,0.0325
184,0.2934,0.0429
185,0.0645,0.0577
186,0.0,0.0769
187,0.0,0.0999
188,0.0,0.1252
189,0.0,0.15
190,0.0,0.1711
191,0.0,0.1854
192,0.0,0.1904
193,0.0,0.1854
194,0.0,0.1711
195,0.0,0.15
196,0.0,0.1252
197,0.0,0.0999
198,0.0,0.0769
199,0.0728,0.0577
200,0.2778,0.0429
201,0.5018,0.0325
202,0.6185,0.0257
203,0.6191,0.022
204,0.6832,0.0208
205,0.62,0.022
206,0.6366,0.0257
207,0.5372,0.0325
208,0.2733,0.0429
209,0.071,0.0577
210,0.0,0.0769
211,0.0,0.0999
212,0.0,0.1252
213,0.0,0.15
214,0.0,0.1711
215,0.0,0.1854
216,0.0,0.1904
217,0.0,0.1854
218,0.0,0.1711
219,0.0,0.15
220,0.0,0.1252
221,0.0,0.0999
222,0.0,0.0769
223,0.0664,0.0577
224,0.3061,0.0429
225,0.5172,0.0325
226,0.685,0.0257
227,0.7022,0.022
228,0.7106,0.0208
229,0.6405,0.022
230,0.6057,0.0257
231,0.5369,0.0325
232,0.2825,0.0429
233,0.0693,0.0577
234,0.0,0.0769
235,0.0,0.0999
236,0.0,0.1252
237,0.0,0.15
238,0.0,0.1711
239,0.0,0.1854
240,0.0,0.1904
241,0.0,0.1854
242,0.0,0.1711
243,0.0,0.15
244,0.0,0.1252
245,0.0,0.0999
246,0.0,0.0769
247,0.0736,0.0577
248,0.3115,0.0429
249,0.4856,0.0325
250,0.6212,0.0257
251,0.7249,0.022
252,0.7155,0.0208
253,0.6784,0.022
254,0.6741,0.0257
255,0.4763,0.0325
256,0.2755,0.0429
257,0.0751,0.0577
258,0.0,0.0769
259,0.0,0.0999
260,0.0,0.1252
261,0.0,0.15
262,0.0,0.1711
263,0.0,0.1854
264,0.0,0.1904
265,0.0,0.1854
266,0.0,0.1711
267,0.0,0.15
268,0.0,0.1252
269,0.0,0.0999
270,0.0,0.0769
271,0.0759,0.0577
272,0.3184,0.0429
273,0.531,0.0325
274,0.6376,0.0257
275,0.6483,0.022
276,0.6844,0.0208
277,0.7224,0.022
278,0.6116,0.0257
279,0.5327,0.0325
280,0.3206,0.0429
281,0.0731,0.0577
282,0.0,0.0769
283,0.0,0.0999
284,0.0,0.1252
285,0.0,0.15
286,0.0,0.1711
287,0.0,0.1854
288,0.0,0.1904
289,0.0,0.1854
290,0.0,0.1711
291,0.0,0.15
292,0.0,0.1252
293,0.0,0.0999
294,0.0,0.0769
295,0.0683,0.0577
296,0.3164,0.0429
297,0.489,0.0325
298,0.6459,0.0257
299,0.6449,0.022
300,0.6489,0.0208
301,0.7039,0.022
302,0.68,0.0257
303,0.5046,0.0325
304,0.3204,0.0429
305,0.0667,0.0577
306,0.0,0.0769
307,0.0,0.0999
308,0.0,0.1252
309,0.0,0.15
310,0.0,0.1711
311,0.0,0.1854
312,0.0,0.1904
313,0.0,0.1854
314,0.0,0.1711
315,0.0,0.15
316,0.0,0.1252
317,0.0,0.0999
318,0.0,0.0769
319,0.074,0.0577
320,0.3106,0.0429
321,0.5037,0.0325
322,0.6243,0.0257
323,0.6227,0.022
324,0.6248,0.0208
325,0.6734,0.022
326,0.6784,0.0257
327,0.5348,0.0325
328,0.3107,0.0429
329,0.0751,0.0577
330,0.0,0.0769
331,0.0,0.0999
332,0.0,0.1252
333,0.0,0.15
334,0.0,0.1711
335,0.0,0.1854
336,0.0,0.1904
337,0.0,0.1854
338,0.0,0.1711
339,0.0,0.15
340,0.0,0.1252
341,0.0,0.0999
342,0.0,0.0769
343,0.0769,0.0577
344,0.3078,0.0429
345,0.49,0.0325
346,0.6079,0.0257
347,0.7218,0.022
348,0.6494,0.0208
349,0.7085,0.022
350,0.619,0.0257
351,0.4662,0.0325
352,0.3108,0.0429
353,0.0746,0.0577
354,0.0,0.0769
355,0.0,0.0999
356,0.0,0.1252
357,0.0,0.15
358,0.0,0.1711
359,0.0,0.1854
360,0.0,0.1904
361,0.0,0.1854
362,0.0,0.1711
363,0.0,0.15
364,0.0,0.1252
365,0.0,0.0999
366,0.0,0.0769
367,0.0736,0.0577
368,0.2856,0.0429
369,0.5118,0.0325
370,0.6259,0.0257
371,0.6384,0.022
372,0.6183,0.0208
373,0.687,0.022
374,0.68,0.0257
375,0.4624,0.0325
376,0.3137,0.0429
377,0.0745,0.0577
378,0.0,0.0769
379,0.0,0.0999
380,0.0,0.1252
381,0.0,0.15
382,0.0,0.1711
383,0.0,0.1854
384,0.0,0.1904
385,0.0,0.1854
386,0.0,0.1711
387,0.0,0.15
388,0.0,0.1252
389,0.0,0.0999
390,0.0,0.0769
391,0.072,0.0577
392,0.2932,0.0429
393,0.5261,0.0325
394,0.6275,0.0257
395,0.6444,0.022
396,0.704,0.0208
397,0.6768,0.022
398,0.6674,0.0257
399,0.4953,0.0325
400,0.3145,0.0429
401,0.0787,0.0577
402,0.0,0.0769
403,0.0,0.0999
404,0.0,0.1252
405,0.0,0.15
406,0.0,0.1711
407,0.0,0.1854
408,0.0,0.1904
409,0.0,0.1854
410,0.0,0.1711
411,0.0,0.15
412,0.0,0.1252
413,0.0,0.0999
414,0.0,0.0769
415,0.0834,0.0577
416,0.3238,0.0429
417,0.4788,0.0325
418,0.6921,0.0257
419,0.6412,0.022
420,0.6861,0.0208
421,0.7243,0.022
422,0.7043,0.0257
423,0.4906,0.0325
424,0.2815,0.0429
425,0.0805,0.0577
426,0.0,0.0769
427,0.0,0.0999
428,0.0,0.1252
429,0.0,0.15
430,0.0,0.1711
431,0.0,0.1854
432,0.0,0.1904
433,0.0,0.1854
434,0.0,0.1711
435,0.0,0.15
436,0.0,0.1252
437,0.0,0.0999
438,0.0,0.0769
439,0.0781,0.0577
440,0.3201,0.0429
441,0.4644,0.0325
442,0.6455,0.0257
443,0.6318,0.022
444,0.6943,0.0208
445,0.6352,0.022
446,0.6206,0.0257
447,0.4914,0.0325
448,0.321,0.0429
449,0.0813,0.0577
450,0.0,0.0769
451,0.0,0.0999
452,0.0,0.1252
453,0.0,0.15
454,0.0,0.1711
455,0.0,0.1854
456,0.0,0.1904
457,0.0,0.1854
458,0.0,0.1711
459,0.0,0.15
460,0.0,0.1252
461,0.0,0.0999
462,0.0,0.0769
463,0.0793,0.0577
464,0.3,0.0429
465,0.4983,0.0325
466,0.6967,0.0257
467,0.7002,0.022
468,0.671,0.0208
469,0.6381,0.022
470,0.6856,0.0257
471,0.5021,0.0325
472,0.3084,0.0429
473,0.0751,0.0577
474,0.0,0.0769
475,0.0,0.0999
476,0.0,0.1252
477,0.0,0.15
478,0.0,0.1711
479,0.0,0.1854
480,0.0,0.1904
481,0.0,0.1854
482,0.0,0.1711
483,0.0,0.15
484,0.0,0.1252
485,0.0,0.0999
486,0.0,0.0769
487,0.0812,0.0577
488,0.3027,0.0429
489,0.4676,0.0325
490,0.6064,0.0257
491,0.681,0.022
492,0.6767,0.0208
493,0.6509,0.022
494,0.6177,0.0257
495,0.5005,0.0325
496,0.3049,0.0429
497,0.0817,0.0577
498,0.0,0.0769
499,0.0,0.0999
500,0.0,0.1252
501,0.0,0.15
502,0.0,0.1711
503,0.0,0.1854
504,0.0,0.1904
505,0.0,0.1854
506,0.0,0.1711
507,0.0,0.15
508,0.0,0.1252
509,0.0,0.0999
510,0.0,0.0769
511,0.0838,0.0577
512,0.3109,0.0429
513,0.4878,0.0325
514,0.6675,0.0257
515,0.6579,0.022
516,0.6993,0.0208
517,0.711,0.022
518,0.6585,0.0257
519,0.5245,0.0325
520,0.3079,0.0429
521,0.0871,0.0577
522,0.0,0.0769
523,0.0,0.0999
524,0.0,0.1252
525,0.0,0.15
526,0.0,0.1711
527,0.0,0.1854
528,0.0,0.1904
529,0.0,0.1854
530,0.0,0.1711
531,0.0,0.15
532,0.0,0.1252
533,0.0,0.0999
534,0.0,0.0769
535,0.0897,0.0577
536,0.2879,0.0429
537,0.5052,0.0325
538,0.7058,0.0257
539,0.6643,0.022
540,0.6834,0.0208
541,0.6402,0.022
542,0.6958,0.0257
543,0.5189,0.0325
544,0.31,0.0429
545,0.0817,0.0577
546,0.0,0.0769
547,0.0,0.0999
548,0.0,0.1252
549,0.0,0.15
550,0.0,0.1711
551,0.0,0.1854
552,0.0,0.1904
553,0.0,0.1854
