hour,solar_cf,wind_cf
0,0.0,0.179
1,0.0,0.1743
2,0.0,0.1609
3,0.0,0.1411
4,0.0,0.1177
5,0.0,0.094
6,0.0,0.0723
7,0.0555,0.0542
8,0.2659,0.0404
9,0.4677,0.0306
10,0.5997,0.0242
11,0.6023,0.0207
12,0.679,0.0196
13,0.6528,0.0207
14,0.6631,0.0242
15,0.4448,0.0306
16,0.2956,0.0404
17,0.0634,0.0542
18,0.0,0.0723
19,0.0,0.094
20,0.0,0.1177
21,0.0,0.1411
22,0.0,0.1609
23,0.0,0.1743
24,0.0,0.179
25,0.0,0.1743
26,0.0,0.1609
27,0.0,0.1411
28,0.0,0.1177
29,0.0,0.094
30,0.0,0.0723
31,0.0646,0.0542
32,0.2887,0.0404
33,0.4425,0.0306
34,0.658,0.0242
35,0.651,0.0207
36,0.618,0.0196
37,0.6799,0.0207
38,0.6718,0.0242
39,0.4736,0.0306
40,0.2734,0.0404
41,0.058,0.0542
42,0.0,0.0723
43,0.0,0.094
44,0.0,0.1177
45,0.0,0.1411
46,0.0,0.1609
47,0.0,0.1743
48,0.0,0.179
49,0.0,0.1743
50,0.0,0.1609
51,0.0,0.1411
52,0.0,0.1177
53,0.0,0.094
54,0.0,0.0723
55,0.0648,0.0542
56,0.2627,0.0404
57,0.4418,0.0306
58,0.6697,0.0242
59,0.6898,0.0207
60,0.6284,0.0196
61,0.6006,0.0207
62,0.6573,0.0242
63,0.4447,0.0306
64,0.2855,0.0404
65,0.0575,0.0542
66,0.0,0.0723
67,0.0,0.094
68,0.0,0.1177
69,0.0,0.1411
70,0.0,0.1609
71,0.0,0.1743
72,0.0,0.179
73,0.0,0.1743
74,0.0,0.1609
75,0.0,0.1411
76,0.0,0.1177
77,0.0,0.094
78,0.0,0.0723
79,0.0632,0.0542
80,0.2988,0.0404
81,0.4481,0.0306
82,0.6025,0.0242
83,0.602,0.0207
84,0.6929,0.0196
85,0.6228,0.0207
86,0.674,0.0242
87,0.451,0.0306
88,0.2841,0.0404
89,0.0654,0.0542
90,0.0,0.0723
91,0.0,0.094
92,0.0,0.1177
93,0.0,0.1411
94,0.0,0.1609
95,0.0,0.1743
96,0.0,0.179
97,0.0,0.1743
98,0.0,0.1609
99,0.0,0.1411
100,0.0,0.1177
101,0.0,0.094
102,0.0,0.0723
103,0.0579,0.0542
104,0.2728,0.0404
105,0.4497,0.0306
106,0.6611,0.0242
107,0.5959,0.0207
108,0.6697,0.0196
109,0.6331,0.0207
110,0.6524,0.0242
111,0.4416,0.0306
112,0.2857,0.0404
113,0.06,0.0542
114,0.0,0.0723
115,0.0,0.094
116,0.0,0.1177
117,0.0,0.1411
118,0.0,0.1609
119,0.0,0.1743
120,0.0,0.179
121,0.0,0.1743
122,0.0,0.1609
123,0.0,0.1411
124,0.0,0.1177
125,0.0,0.094
126,0.0,0.0723
127,0.0607,0.0542
128,0.2676,0.0404
