hour,solar_cf,wind_cf
0,0.0,0.162
1,0.0,0.1577
2,0.0,0.1456
3,0.0,0.1276
4,0.0,0.1065
5,0.0,0.085
6,0.0,0.0654
7,0.0693,0.0491
8,0.3046,0.0365
9,0.5006,0.0276
10,0.6846,0.0219
11,0.6689,0.0187
12,0.6983,0.0177
13,0.7401,0.0187
14,0.6396,0.0219
15,0.4814,0.0276
16,0.3059,0.0365
17,0.0681,0.0491
18,0.0,0.0654
19,0.0,0.085
20,0.0,0.1065
21,0.0,0.1276
22,0.0,0.1456
23,0.0,0.1577
24,0.0,0.162
25,0.0,0.1577
26,0.0,0.1456
27,0.0,0.1276
28,0.0,0.1065
29,0.0,0.085
30,0.0,0.0654
31,0.0604,0.0491
32,0.2922,0.0365
33,0.5253,0.0276
34,0.7164,0.0219
35,0.6983,0.0187
36,0.6635,0.0177
37,0.6988,0.0187
38,0.6597,0.0219
39,0.4728,0.0276
40,0.3037,0.0365
41,0.0688,0.0491
42,0.0,0.0654
43,0.0,0.085
44,0.0,0.1065
45,0.0,0.1276
46,0.0,0.1456
47,0.0,0.1577
48,0.0,0.162
49,0.0,0.1577
50,0.0,0.1456
51,0.0,0.1276
52,0.0,0.1065
53,0.0,0.085
54,0.0,0.0654
55,0.0613,0.0491
56,0.3161,0.0365
57,0.5221,0.0276
58,0.6357,0.0219
59,0.7164,0.0187
60,0.7364,0.0177
61,0.6964,0.0187
62,0.6304,0.0219
63,0.5476,0.0276
64,0.315,0.0365
65,0.0625,0.0491
66,0.0,0.0654
67,0.0,0.085
68,0.0,0.1065
69,0.0,0.1276
70,0.0,0.1456
71,0.0,0.1577
72,0.0,0.162
73,0.0,0.1577
74,0.0,0.1456
75,0.0,0.1276
76,0.0,0.1065
77,0.0,0.085
78,0.0,0.0654
79,0.0631,0.0491
80,0.2953,0.0365
81,0.5356,0.0276
82,0.6246,0.0219
83,0.7215,0.0187
84,0.7094,0.0177
85,0.6485,0.0187
86,0.6442,0.0219
87,0.4915,0.0276
88,0.2786,0.0365
89,0.0704,0.0491
90,0.0,0.0654
91,0.0,0.085
92,0.0,0.1065
93,0.0,0.1276
94,0.0,0.1456
95,0.0,0.1577
96,0.0,0.162
97,0.0,0.1577
98,0.0,0.1456
99,0.0,0.1276
100,0.0,0.1065
101,0.0,0.085
102,0.0,0.0654
103,0.072,0.0491
104,0.2921,0.0365
105,0.5144,0.0276
106,0.6983,0.0219
107,0.6557,0.0187
108,0.7434,0.0177
109,0.6746,0.0187
110,0.6855,0.0219
111,0.5361,0.0276
112,0.2933,0.0365
113,0.064,0.0491
114,0.0,0.0654
115,0.0,0.085
116,0.0,0.1065
117,0.0,0.1276
118,0.0,0.1456
119,0.0,0.1577
120,0.0,0.162
121,0.0,0.1577
122,0.0,0.1456
123,0.0,0.1276
124,0.0,0.1065
125,0.0,0.085
126,0.0,0.0654
127,0.0705,0.0491
128,0.3076,0.0365
129,0.5218,0.0276
130,0.6798,0.0219
131,0.6934,0.0187
132,0.7121,0.0177
133,0.6826,0.0187
134,0.7274,0.0219
135,0.5439,0.0276
136,0.3238,0.0365
137,0.0654,0.0491
138,0.0,0.0654
139,0.0,0.085
140,0.0,0.1065
141,0.0,0.1276
142,0.0,0.1456
143,0.0,0.1577
144,0.0,0.162
145,0.0,0.1577
146,0.0,0.1456
147,0.0,0.1276
148,0.0,0.1065
149,0.0,0.085
150,0.0,0.0654
151,0.0695,0.0491
152,0.2899,0.0365
153,0.5316,0.0276
154,0.7045,0.0219
155,0.6347,0.0187
156,0.6526,0.0177
157,0.7256,0.0187
158,0.6496,0.0219
159,0.5027,0.0276
160,0.3022,0.0365
161,0.0662,0.0491
162,0.0,0.0654
163,0.0,0.085
164,0.0,0.1065
165,0.0,0.1276
166,0.0,0.1456
167,0.0,0.1577
168,0.0,0.162
169,0.0,0.1577
170,0.0,0.1456
171,0.0,0.1276
172,0.0,0.1065
173,0.0,0.085
174,0.0,0.0654
175,0.0727,0.0491
176,0.3022,0.0365
177,0.542,0.0276
178,0.6941,0.0219
179,0.7342,0.0187
180,0.639,0.0177
181,0.7268,0.0187
182,0.6447,0.0219
183,0.4865,0.0276
184,0.288,0.0365
185,0.0685,0.0491
186,0.0,0.0654
187,0.0,0.085
188,0.0,0.1065
189,0.0,0.1276
190,0.0,0.1456
191,0.0,0.1577
192,0.0,0.162
193,0.0,0.1577
194,0.0,0.1456
195,0.0,0.1276
196,0.0,0.1065
197,0.0,0.085
198,0.0,0.0654
199,0.073,0.0491
200,0.3147,0.0365
201,0.5488,0.0276
202,0.7095,0.0219
203,0.6907,0.0187
204,0.6604,0.0177
205,0.7443,0.0187
206,0.6398,0.0219
207,0.5264,0.0276
208,0.3008,0.0365
209,0.0721,0.0491
210,0.0,0.0654
211,0.0,0.085
212,0.0,0.1065
213,0.0,0.1276
214,0.0,0.1456
215,0.0,0.1577
216,0.0,0.162
217,0.0,0.1577
218,0.0,0.1456
219,0.0,0.1276
220,0.0,0.1065
221,0.0,0.085
222,0.0,0.0654
223,0.0705,0.0491
224,0.3197,0.0365
225,0.5377,0.0276
226,0.6917,0.0219
227,0.736,0.0187
228,0.7301,0.0177
229,0.7048,0.0187
230,0.7194,0.0219
231,0.5343,0.0276
232,0.2835,0.0365
233,0.0721,0.0491
234,0.0,0.0654
235,0.0,0.085
236,0.0,0.1065
237,0.0,0.1276
238,0.0,0.1456
239,0.0,0.1577
240,0.0,0.162
241,0.0,0.1577
242,0.0,0.1456
243,0.0,0.1276
244,0.0,0.1065
245,0.0,0.085
246,0.0,0.0654
247,0.0745,0.0491
248,0.3147,0.0365
249,0.5263,0.0276
250,0.6399,0.0219
251,0.6982,0.0187
252,0.6612,0.0177
253,0.7268,0.0187
254,0.6377,0.0219
255,0.5043,0.0276
256,0.3248,0.0365
257,0.0693,0.0491
258,0.0,0.0654
259,0.0,0.085
260,0.0,0.1065
261,0.0,0.1276
262,0.0,0.1456
263,0.0,0.1577
264,0.0,0.162
265,0.0,0.1577
266,0.0,0.1456
267,0.0,0.1276
268,0.0,0.1065
269,0.0,0.085
270,0.0,0.0654
271,0.075,0.0491
272,0.3265,0.0365
273,0.5397,0.0276
274,0.6966,0.0219
275,0.6625,0.0187
276,0.6405,0.0177
277,0.6761,0.0187
278,0.6727,0.0219
279,0.5422,0.0276
280,0.2843,0.0365
281,0.0724,0.0491
282,0.0,0.0654
283,0.0,0.085
284,0.0,0.1065
285,0.0,0.1276
286,0.0,0.1456
287,0.0,0.1577
288,0.0,0.162
289,0.0,0.1577
290,0.0,0.1456
291,0.0,0.1276
292,0.0,0.1065
293,0.0,0.085
294,0.0,0.0654
295,0.0772,0.0491
296,0.3086,0.0365
297,0.506,0.0276
298,0.6362,0.0219
299,0.6418,0.0187
300,0.7149,0.0177
301,0.6669,0.0187
302,0.7041,0.0219
303,0.4934,0.0276
304,0.3073,0.0365
305,0.0781,0.0491
306,0.0,0.0654
307,0.0,0.085
308,0.0,0.1065
309,0.0,0.1276
310,0.0,0.1456
311,0.0,0.1577
312,0.0,0.162
313,0.0,0.1577
314,0.0,0.1456
315,0.0,0.1276
316,0.0,0.1065
317,0.0,0.085
318,0.0,0.0654
319,0.0788,0.0491
320,0.2885,0.0365
321,0.4996,0.0276
322,0.7145,0.0219
323,0.7002,0.0187
324,0.7276,0.0177
325,0.6497,0.0187
326,0.6882,0.0219
327,0.5172,0.0276
328,0.3271,0.0365
329,0.0765,0.0491
330,0.0,0.0654
331,0.0,0.085
332,0.0,0.1065
333,0.0,0.1276
334,0.0,0.1456
335,0.0,0.1577
336,0.0,0.162
337,0.0,0.1577
338,0.0,0.1456
339,0.0,0.1276
340,0.0,0.1065
341,0.0,0.085
342,0.0,0.0654
343,0.0824,0.0491
344,0.3008,0.0365
345,0.486,0.0276
346,0.7114,0.0219
347,0.7036,0.0187
348,0.7123,0.0177
349,0.6505,0.0187
350,0.7164,0.0219
351,0.5501,0.0276
352,0.3204,0.0365
353,0.0741,0.0491
354,0.0,0.0654
355,0.0,0.085
356,0.0,0.1065
357,0.0,0.1276
358,0.0,0.1456
359,0.0,0.1577
360,0.0,0.162
361,0.0,0.1577
362,0.0,0.1456
363,0.0,0.1276
364,0.0,0.1065
365,0.0,0.085
366,0.0,0.0654
367,0.082,0.0491
368,0.2918,0.0365
