state,year,solar_cf_mean,solar_cf_max,wind_cf_mean,wind_cf_max
Rajasthan,2021,0.24499999999999997,0.7463938835185561,0.2683293899605418,1.0
Rajasthan,2022,0.24499999999999997,0.7460544006256482,0.2683293899605418,1.0
Rajasthan,2023,0.24499999999999997,0.7445451364379005,0.2683293899605417,1.0
Gujarat,2021,0.23800000000000002,0.7251424493917424,0.29182323545167876,1.0
Gujarat,2022,0.23800000000000002,0.7245107589376134,0.29182323545167876,1.0
Gujarat,2023,0.23799999999999996,0.7242592153750786,0.29182323545167865,1.0
Tamil Nadu,2021,0.22200000000000003,0.6751158115729331,0.3030973551439813,1.0
Tamil Nadu,2022,0.222,0.6761983846003893,0.3030973551439813,1.0
Tamil Nadu,2023,0.22200000000000003,0.6764946506792526,0.30309735514398123,1.0
Karnataka,2021,0.22800000000000004,0.6938126732294321,0.2834720356796028,1.0
Karnataka,2022,0.228,0.6942823831358417,0.2834720356796028,1.0
Karnataka,2023,0.22799999999999998,0.693973583585842,0.2834720356796028,1.0
